SUBGENRE,GENRE
Electronica,Electronica
Techno,Electronica
House,Electronica
Electro,Electronica
Rap,Rap
Hip-Hop,Rap
Rock,Rock
Punk,Rock
Metal,Rock
Humor,Humor
Blues,Blues
Reggae,Reggae
Country,Country
Jazz,Jazz
Spoken,Spoken
Folk,Folk
R_B,R_B
World,World
Classical,Classical
Pop,Pop
Other,Other
